Age,Gender,Education Level,Job Title,Years of Experienceexperience in months,,Salary
32,Male,Bachelor's,Software Engineer,5,60,90000
28,Female,Master's,Data Analyst,3,36,65000
45,Male,PhD,Senior Manager,15,180,150000
36,Female,Bachelor's,Sales Associate,7,84,60000
52,Male,Master's,Director,20,240,200000
29,Male,Bachelor's,Marketing Analyst,2,24,55000
42,Female,Master's,Product Manager,12,144,120000
31,Male,Bachelor's,Sales Manager,4,48,80000
26,Female,Bachelor's,Marketing Coordinator,1 year,,45000
38,Male,PhD,Senior Scientist,10,120,110000
29,Male,Master's,Software Developer,3,36,75000
48,Female,Bachelor's,HR Manager,18,216,140000
35,Male,Bachelor's,Financial Analyst,6,72,65000
40,Female,Master's,Project Manager,14,168,130000
27,Male,Bachelor's,Customer Service Rep,2,24,40000
44,Male,Bachelor's,Operations Manager,16,192,125000
33,Female,Master's,Marketing Manager,7,84,90000
39,Male,PhD,Senior Engineer,12,144,115000
25,Female,Bachelor's,Data Entry Clerk,0,0,35000
51,Male,Bachelor's,Sales Director,22,264,180000
34,Female,Master's,Business Analyst,5,60,80000
47,Male,Master's,VP of Operations,19,228,190000
30,Male,Bachelor's,IT Support,2,24,50000
36,Female,Bachelor's,Recruiter,9,108,60000
41,Male,Master's,Financial Manager,13,156,140000
28,Female,Bachelor's,Social Media Specialist,3,36,45000
37,Female,Master's,Software Manager,11,132,110000
24,Male,Bachelor's,Junior Developer,1,12,40000
43,Female,PhD,Senior Consultant,15,180,140000
33,Male,Master's,Product Designer,6,72,90000
50,Male,Bachelor's,CEO,25,300,250000
31,Female,Bachelor's,Accountant,4,48,55000
29,Male,Master's,Data Scientist,3,36,75000
39,Female,Bachelor's,Marketing Specialist,10,120,65000
46,Male,PhD,Senior Manager,20,240,170000
27,Male,Bachelor's,Technical Writer,2,24,45000
35,Female,Bachelor's,HR Generalist,7,84,60000
42,Male,Master's,Project Engineer,14,168,115000
26,Female,Bachelor's,Customer Success Rep,1,12,40000
49,Male,Bachelor's,Sales Executive,21,252,160000
34,Female,Master's,UX Designer,5,60,80000
48,Male,Master's,Operations Director,18,216,190000
30,Male,Bachelor's,Network Engineer,3,36,60000
36,Female,Bachelor's,Administrative Assistant,8,96,45000
41,Male,Master's,Strategy Consultant,13,156,130000
28,Female,Bachelor's,Copywriter,2,24,40000
32,Male,Bachelor's,Account Manager,5,60,75000
45,Female,Master's,Director of Marketing,16,192,180000
38,Male,PhD,Senior Scientist,11,132,120000
25,Male,Bachelor's,Help Desk Analyst,0,0,35000
51,Female,Bachelor's,Customer Service Manager,22,264,130000
33,Male,Master's,Business Intelligence Analyst,7,84,85000
40,Female,Bachelor's,Event Coordinator,12,144,60000
47,Male,Master's,VP of Finance,19,228,200000
29,Female,Bachelor's,Graphic Designer,3,36,50000
36,Male,Bachelor's,Sales Manager,9,108,95000
27,Female,Master's,UX Researcher,2,24,65000
43,Male,PhD,Senior Engineer,17,204,140000
30,Female,Bachelor's,Social Media Manager,4,48,55000
35,Male,Master's,Product Manager,7,84,105000
51,Female,Master's,Director of Operations,23,276,170000
29,Male,Bachelor's,Marketing Analyst,3,36,50000
40,Female,Bachelor's,HR Manager,12,144,80000
47,Male,PhD,Senior Data Scientist,21,252,180000
26,Male,Bachelor's,Junior Accountant,1,12,35000
38,Female,Master's,Digital Marketing Manager,10,120,90000
46,Male,Bachelor's,IT Manager,19,228,120000
31,Female,Bachelor's,Customer Service Representative,5,60,45000
34,Male,Master's,Business Development Manager,8,96,90000
49,Female,Master's,Senior Financial Analyst,18,216,150000
33,Male,Bachelor's,Web Developer,6,72,65000
39,Female,Bachelor's,Recruiter,11,132,70000
45,Male,PhD,Research Director,16,192,190000
28,Male,Bachelor's,Technical Support Specialist,2,24,40000
42,Female,Master's,Creative Director,14,168,120000
37,Male,Bachelor's,Project Manager,10,120,95000
50,Female,Bachelor's,Operations Manager,22,264,160000
32,Male,Master's,Senior Software Engineer,6,72,100000
48,Female,Master's,Human Resources Director,20,240,180000
30,Female,Bachelor's,Content Marketing Manager,3,36,55000
36,Male,Bachelor's,Technical Recruiter,8,96,70000
41,Female,Master's,Data Analyst,13,156,80000
25,Male,Bachelor's,Sales Representative,0,0,30000
52,Male,PhD,Chief Technology Officer,24,288,250000
29,Female,Bachelor's,Junior Designer,2,24,40000
34,Female,Master's,Financial Advisor,10,120,95000
27,Male,Bachelor's,Junior Account Manager,2,24,45000
40,Female,Bachelor's,HR Generalist,15,180,80000
46,Male,Master's,Senior Project Manager,21,252,135000
31,Female,Bachelor's,Marketing Coordinator,6,72,55000
36,Male,PhD,Principal Scientist,11,132,120000
29,Female,Bachelor's,Sales Associate,3,36,40000
43,Male,Bachelor's,Supply Chain Manager,18,216,105000
52,Female,Master's,Senior Marketing Manager,25,300,170000
33,Male,Bachelor's,Business Analyst,7,84,75000
39,Female,Bachelor's,Training Specialist,12,144,65000
47,Male,PhD,Research Scientist,22,264,160000
